label,Genefamily,Value
Sphenodon punctatus,OG0000023,decreased
Sus scrofa,OG0000023,increased
17,OG0000023,none
Balaenoptera musculus,OG0000023,decreased
26,OG0000023,none
Ceratotherium simum,OG0000023,increased
75,OG0000023,decreased
37,OG0000023,none
Desmodus rotundus,OG0000023,decreased
46,OG0000023,none
Gorilla gorilla,OG0000023,decreased
24,OG0000023,decreased
Tupaia chinensis,OG0000023,decreased
36,OG0000023,none
64,OG0000023,increased
Nannosplalax galili,OG0000023,increased
Elephas maximus,OG0000023,increased
71,OG0000023,increased
47,OG0000023,none
Choloepus didactylus,OG0000023,none
72,OG0000023,decreased
Sarcophilus harrisi,OG0000023,increased
MRCA,OG0000023,none
Ornithorhynchus anatinus,OG0000023,decreased
Rana temporaria,OG0000023,increased
20,OG0000023,none
Nanorana parkeri,OG0000023,decreased
32,OG0000023,increased
Bufo bufo,OG0000023,increased
44,OG0000023,none
Leptobrachium leishanense,OG0000023,increased
33,OG0000023,increased
Spea bombifrons,OG0000023,decreased
52,OG0000023,none
Xenopus Tropicalis,OG0000023,decreased
45,OG0000023,decreased
62,OG0000023,increased
Xenopus Laevis,OG0000023,none
70,OG0000023,increased
Bombina bombina,OG0000023,increased
Pleurodeles waltl,OG0000023,none
74,OG0000023,increased
Microcaecilia unicolor,OG0000023,increased
56,OG0000023,decreased
Geotrypetes seraphini,OG0000023,decreased
66,OG0000023,none
Rhinatrema bivittatum,OG0000023,increased
Aquila chrysaetos,OG0000054,none
3,OG0000054,none
Taeniopygia guttata,OG0000054,none
7,OG0000054,none
Nipponia nippon,OG0000054,none
11,OG0000054,none
Rissa tridactyla,OG0000054,none
19,OG0000054,none
Cuculus canorus,OG0000054,none
10,OG0000054,none
29,OG0000054,none
Apus apus,OG0000054,none
41,OG0000054,none
Columbalivia,OG0000054,none
Numida meleagris,OG0000054,none
48,OG0000054,none
Dromaius novaehollandiae,OG0000054,none
58,OG0000054,decreased
Alligator mississippiensis,OG0000054,none
68,OG0000054,increased
Gopherus evgoodei,OG0000054,none
Varanus komodoensis,OG0000054,none
43,OG0000054,none
73,OG0000054,none
Pogona vitticeps,OG0000054,none
51,OG0000054,none
Pseudonaja textilis,OG0000054,none
61,OG0000054,decreased
Eublepharis macularius,OG0000054,none
69,OG0000054,none
Sphenodon punctatus,OG0000054,none
75,OG0000054,decreased
Sus scrofa,OG0000054,none
17,OG0000054,none
Balaenoptera musculus,OG0000054,none
26,OG0000054,none
Ceratotherium simum,OG0000054,none
37,OG0000054,none
